Variable Type,Indicator.Name
% educated at level,Barro-Lee: Percentage of female population age 25-29 with primary schooling. Completed Primary
% educated at level,Barro-Lee: Percentage of female population age 25-29 with primary schooling. Total (Incomplete and Completed Primary)
% educated at level,Barro-Lee: Percentage of female population age 25-29 with secondary schooling. Completed Secondary
% educated at level,Barro-Lee: Percentage of female population age 25-29 with secondary schooling. Total (Incomplete and Completed Secondary)
% educated at level,Barro-Lee: Percentage of female population age 25-29 with tertiary schooling. Completed Tertiary
% educated at level,Barro-Lee: Percentage of female population age 25-29 with tertiary schooling. Total (Incomplete and Completed Tertiary)
% educated at level,Barro-Lee: Percentage of female population age 25+ with no education
% educated at level,Barro-Lee: Percentage of female population age 25+ with primary schooling. Completed Primary
% educated at level,Barro-Lee: Percentage of female population age 25+ with primary schooling. Total (Incomplete and Completed Primary)
% educated at level,Barro-Lee: Percentage of female population age 25+ with secondary schooling. Completed Secondary
% educated at level,Barro-Lee: Percentage of female population age 25+ with secondary schooling. Total (Incomplete and Completed Secondary)
% educated at level,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Completed Tertiary
% educated at level,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary)
% educated at level,Barro-Lee: Percentage of female population age 30-34 with no education
% educated at level,Barro-Lee: Percentage of female population age 30-34 with primary schooling. Completed Primary
% educated at level,Barro-Lee: Percentage of female population age 30-34 with primary schooling. Total (Incomplete and Completed Primary)
% educated at level,Barro-Lee: Percentage of female population age 30-34 with secondary schooling. Completed Secondary
% educated at level,Barro-Lee: Percentage of female population age 30-34 with secondary schooling. Total (Incomplete and Completed Secondary)
% educated at level,Barro-Lee: Percentage of female population age 30-34 with tertiary schooling. Completed Tertiary
% educated at level,Barro-Lee: Percentage of female population age 30-34 with tertiary schooling. Total (Incomplete and Completed Tertiary)
% educated at level,Barro-Lee: Percentage of female population age 35-39 with no education
% educated at level,Barro-Lee: Percentage of female population age 35-39 with primary schooling. Completed Primary
% educated at level,Barro-Lee: Percentage of female population age 35-39 with primary schooling. Total (Incomplete and Completed Primary)
% educated at level,Barro-Lee: Percentage of female population age 35-39 with secondary schooling. Completed Secondary
% educated at level,Barro-Lee: Percentage of female population age 35-39 with secondary schooling. Total (Incomplete and Completed Secondary)
% educated at level,Barro-Lee: Percentage of female population age 35-39 with tertiary schooling. Completed Tertiary
% educated at level,Barro-Lee: Percentage of female population age 35-39 with tertiary schooling. Total (Incomplete and Completed Tertiary)
% educated at level,Barro-Lee: Percentage of female population age 40-44 with no education
% educated at level,Barro-Lee: Percentage of female population age 40-44 with primary schooling. Completed Primary
% educated at level,Barro-Lee: Percentage of female population age 40-44 with primary schooling. Total (Incomplete and Completed Primary)
% educated at level,Barro-Lee: Percentage of female population age 40-44 with secondary schooling. Completed Secondary
% educated at level,Barro-Lee: Percentage of female population age 40-44 with secondary schooling. Total (Incomplete and Completed Secondary)
% educated at level,Barro-Lee: Percentage of female population age 40-44 with tertiary schooling. Completed Tertiary
% educated at level,Barro-Lee: Percentage of female population age 40-44 with tertiary schooling. Total (Incomplete and Completed Tertiary)
% educated at level,Barro-Lee: Percentage of female population age 45-49 with no education
% educated at level,Barro-Lee: Percentage of female population age 45-49 with primary schooling. Completed Primary
% educated at level,Barro-Lee: Percentage of female population age 45-49 with primary schooling. Total (Incomplete and Completed Primary)
% educated at level,Barro-Lee: Percentage of female population age 45-49 with secondary schooling. Completed Secondary
% educated at level,Barro-Lee: Percentage of female population age 45-49 with secondary schooling. Total (Incomplete and Completed Secondary)
% educated at level,Barro-Lee: Percentage of female population age 45-49 with tertiary schooling. Completed Tertiary
% educated at level,Barro-Lee: Percentage of female population age 45-49 with tertiary schooling. Total (Incomplete and Completed Tertiary)
% educated at level,Barro-Lee: Percentage of female population age 50-54 with no education
% educated at level,Barro-Lee: Percentage of female population age 50-54 with primary schooling. Completed Primary
% educated at level,Barro-Lee: Percentage of female population age 50-54 with primary schooling. Total (Incomplete and Completed Primary)
% educated at level,Barro-Lee: Percentage of female population age 50-54 with secondary schooling. Completed Secondary
% educated at level,Barro-Lee: Percentage of female population age 50-54 with secondary schooling. Total (Incomplete and Completed Secondary)
% educated at level,Barro-Lee: Percentage of female population age 50-54 with tertiary schooling. Completed Tertiary
% educated at level,Barro-Lee: Percentage of female population age 50-54 with tertiary schooling. Total (Incomplete and Completed Tertiary)
% educated at level,Barro-Lee: Percentage of female population age 55-59 with no education
% educated at level,Barro-Lee: Percentage of female population age 55-59 with primary schooling. Completed Primary
% educated at level,Barro-Lee: Percentage of female population age 55-59 with primary schooling. Total (Incomplete and Completed Primary)
% educated at level,Barro-Lee: Percentage of female population age 55-59 with secondary schooling. Completed Secondary
% educated at level,Barro-Lee: Percentage of female population age 55-59 with secondary schooling. Total (Incomplete and Completed Secondary)
% educated at level,Barro-Lee: Percentage of female population age 55-59 with tertiary schooling. Completed Tertiary
% educated at level,Barro-Lee: Percentage of female population age 55-59 with tertiary schooling. Total (Incomplete and Completed Tertiary)
% educated at level,Barro-Lee: Percentage of female population age 60-64 with no education
% educated at level,Barro-Lee: Percentage of female population age 60-64 with primary schooling. Completed Primary
% educated at level,Barro-Lee: Percentage of female population age 60-64 with primary schooling. Total (Incomplete and Completed Primary)
% educated at level,Barro-Lee: Percentage of female population age 60-64 with secondary schooling. Completed Secondary
% educated at level,Barro-Lee: Percentage of female population age 60-64 with secondary schooling. Total (Incomplete and Completed Secondary)
% educated at level,Barro-Lee: Percentage of female population age 60-64 with tertiary schooling. Completed Tertiary
% educated at level,Barro-Lee: Percentage of female population age 60-64 with tertiary schooling. Total (Incomplete and Completed Tertiary)
% educated at level,Barro-Lee: Percentage of female population age 65-69 with no education
% educated at level,Barro-Lee: Percentage of female population age 65-69 with primary schooling. Completed Primary
% educated at level,Barro-Lee: Percentage of female population age 65-69 with primary schooling. Total (Incomplete and Completed Primary)
% educated at level,Barro-Lee: Percentage of female population age 65-69 with secondary schooling. Completed Secondary
% educated at level,Barro-Lee: Percentage of female population age 65-69 with secondary schooling. Total (Incomplete and Completed Secondary)
% educated at level,Barro-Lee: Percentage of female population age 65-69 with tertiary schooling. Completed Tertiary
% educated at level,Barro-Lee: Percentage of female population age 65-69 with tertiary schooling. Total (Incomplete and Completed Tertiary)
% educated at level,Barro-Lee: Percentage of female population age 70-74 with no education
% educated at level,Barro-Lee: Percentage of female population age 70-74 with primary schooling. Completed Primary
% educated at level,Barro-Lee: Percentage of female population age 70-74 with primary schooling. Total (Incomplete and Completed Primary)
% educated at level,Barro-Lee: Percentage of female population age 70-74 with secondary schooling. Completed Secondary
% educated at level,Barro-Lee: Percentage of female population age 70-74 with secondary schooling. Total (Incomplete and Completed Secondary)
% educated at level,Barro-Lee: Percentage of female population age 70-74 with tertiary schooling. Completed Tertiary
% educated at level,Barro-Lee: Percentage of female population age 70-74 with tertiary schooling. Total (Incomplete and Completed Tertiary)
% educated at level,Barro-Lee: Percentage of female population age 75+ with no education
% educated at level,Barro-Lee: Percentage of female population age 75+ with primary schooling. Completed Primary
% educated at level,Barro-Lee: Percentage of female population age 75+ with primary schooling. Total (Incomplete and Completed Primary)
% educated at level,Barro-Lee: Percentage of female population age 75+ with secondary schooling. Completed Secondary
% educated at level,Barro-Lee: Percentage of female population age 75+ with secondary schooling. Total (Incomplete and Completed Secondary)
% educated at level,Barro-Lee: Percentage of female population age 75+ with tertiary schooling. Completed Tertiary
% educated at level,Barro-Lee: Percentage of female population age 75+ with tertiary schooling. Total (Incomplete and Completed Tertiary)
% educated at level,Barro-Lee: Percentage of population age 15-19 with no education
% educated at level,Barro-Lee: Percentage of population age 15-19 with primary schooling. Completed Primary
% educated at level,Barro-Lee: Percentage of population age 15-19 with primary schooling. Total (Incomplete and Completed Primary)
% educated at level,Barro-Lee: Percentage of population age 15-19 with secondary schooling. Completed Secondary
% educated at level,Barro-Lee: Percentage of population age 15-19 with secondary schooling. Total (Incomplete and Completed Secondary)
% educated at level,Barro-Lee: Percentage of population age 15-19 with tertiary schooling. Completed Tertiary
% educated at level,Barro-Lee: Percentage of population age 15-19 with tertiary schooling. Total (Incomplete and Completed Tertiary)
% educated at level,Barro-Lee: Percentage of population age 15+ with no education
% educated at level,Barro-Lee: Percentage of population age 15+ with primary schooling. Completed Primary
% educated at level,Barro-Lee: Percentage of population age 15+ with primary schooling. Total (Incomplete and Completed Primary)
% educated at level,Barro-Lee: Percentage of population age 15+ with secondary schooling. Completed Secondary
% educated at level,Barro-Lee: Percentage of population age 15+ with secondary schooling. Total (Incomplete and Completed Secondary)
% educated at level,Barro-Lee: Percentage of population age 15+ with tertiary schooling. Completed Tertiary
% educated at level,Barro-Lee: Percentage of population age 15+ with tertiary schooling. Total (Incomplete and Completed Tertiary)
% educated at level,Barro-Lee: Percentage of population age 20-24 with no education
% educated at level,Barro-Lee: Percentage of population age 20-24 with primary schooling. Completed Primary
% educated at level,Barro-Lee: Percentage of population age 20-24 with primary schooling. Total (Incomplete and Completed Primary)
% educated at level,Barro-Lee: Percentage of population age 20-24 with secondary schooling. Completed Secondary
% educated at level,Barro-Lee: Percentage of population age 20-24 with secondary schooling. Total (Incomplete and Completed Secondary)
% educated at level,Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Completed Tertiary
% educated at level,Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Total (Incomplete and Completed Tertiary)
% educated at level,Barro-Lee: Percentage of population age 25-29 with no education
% educated at level,Barro-Lee: Percentage of population age 25-29 with primary schooling. Completed Primary
% educated at level,Barro-Lee: Percentage of population age 25-29 with primary schooling. Total (Incomplete and Completed Primary)
% educated at level,Barro-Lee: Percentage of population age 25-29 with secondary schooling. Completed Secondary
% educated at level,Barro-Lee: Percentage of population age 25-29 with secondary schooling. Total (Incomplete and Completed Secondary)
% educated at level,Barro-Lee: Percentage of population age 25-29 with tertiary schooling. Completed Tertiary
% educated at level,Barro-Lee: Percentage of population age 25-29 with tertiary schooling. Total (Incomplete and Completed Tertiary)
% educated at level,Barro-Lee: Percentage of population age 25+ with no education
% educated at level,Barro-Lee: Percentage of population age 25+ with primary schooling. Completed Primary
% educated at level,Barro-Lee: Percentage of population age 25+ with primary schooling. Total (Incomplete and Completed Primary)
% educated at level,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary
% educated at level,Barro-Lee: Percentage of population age 25+ with secondary schooling. Total (Incomplete and Completed Secondary)
% educated at level,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Completed Tertiary
% educated at level,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary)
% educated at level,Barro-Lee: Percentage of population age 30-34 with no education
% educated at level,Barro-Lee: Percentage of population age 30-34 with primary schooling. Completed Primary
% educated at level,Barro-Lee: Percentage of population age 30-34 with primary schooling. Total (Incomplete and Completed Primary)
% educated at level,Barro-Lee: Percentage of population age 30-34 with secondary schooling. Completed Secondary
% educated at level,Barro-Lee: Percentage of population age 30-34 with secondary schooling. Total (Incomplete and Completed Secondary)
% educated at level,Barro-Lee: Percentage of population age 30-34 with tertiary schooling. Completed Tertiary
% educated at level,Barro-Lee: Percentage of population age 30-34 with tertiary schooling. Total (Incomplete and Completed Tertiary)
% educated at level,Barro-Lee: Percentage of population age 35-39 with no education
% educated at level,Barro-Lee: Percentage of population age 35-39 with primary schooling. Completed Primary
% educated at level,Barro-Lee: Percentage of population age 35-39 with primary schooling. Total (Incomplete and Completed Primary)
% educated at level,Barro-Lee: Percentage of population age 35-39 with secondary schooling. Completed Secondary
% educated at level,Barro-Lee: Percentage of population age 35-39 with secondary schooling. Total (Incomplete and Completed Secondary)
% educated at level,Barro-Lee: Percentage of population age 35-39 with tertiary schooling. Completed Tertiary
% educated at level,Barro-Lee: Percentage of population age 35-39 with tertiary schooling. Total (Incomplete and Completed Tertiary)
% educated at level,Barro-Lee: Percentage of population age 40-44 with no education
% educated at level,Barro-Lee: Percentage of population age 40-44 with primary schooling. Completed Primary
% educated at level,Barro-Lee: Percentage of population age 40-44 with primary schooling. Total (Incomplete and Completed Primary)
% educated at level,Barro-Lee: Percentage of population age 40-44 with secondary schooling. Completed Secondary
% educated at level,Barro-Lee: Percentage of population age 40-44 with secondary schooling. Total (Incomplete and Completed Secondary)
% educated at level,Barro-Lee: Percentage of population age 40-44 with tertiary schooling. Completed Tertiary
% educated at level,Barro-Lee: Percentage of population age 40-44 with tertiary schooling. Total (Incomplete and Completed Tertiary)
% educated at level,Barro-Lee: Percentage of population age 45-49 with no education
% educated at level,Barro-Lee: Percentage of population age 45-49 with primary schooling. Completed Primary
% educated at level,Barro-Lee: Percentage of population age 45-49 with primary schooling. Total (Incomplete and Completed Primary)
% educated at level,Barro-Lee: Percentage of population age 45-49 with secondary schooling. Completed Secondary
% educated at level,Barro-Lee: Percentage of population age 45-49 with secondary schooling. Total (Incomplete and Completed Secondary)
% educated at level,Barro-Lee: Percentage of population age 45-49 with tertiary schooling. Completed Tertiary
% educated at level,Barro-Lee: Percentage of population age 45-49 with tertiary schooling. Total (Incomplete and Completed Tertiary)
% educated at level,Barro-Lee: Percentage of population age 50-54 with no education
% educated at level,Barro-Lee: Percentage of population age 50-54 with primary schooling. Completed Primary
% educated at level,Barro-Lee: Percentage of population age 50-54 with primary schooling. Total (Incomplete and Completed Primary)
% educated at level,Barro-Lee: Percentage of population age 50-54 with secondary schooling. Completed Secondary
% educated at level,Barro-Lee: Percentage of population age 50-54 with secondary schooling. Total (Incomplete and Completed Secondary)
% educated at level,Barro-Lee: Percentage of population age 50-54 with tertiary schooling. Completed Tertiary
% educated at level,Barro-Lee: Percentage of population age 50-54 with tertiary schooling. Total (Incomplete and Completed Tertiary)
% educated at level,Barro-Lee: Percentage of population age 55-59 with no education
% educated at level,Barro-Lee: Percentage of population age 55-59 with primary schooling. Completed Primary
% educated at level,Barro-Lee: Percentage of population age 55-59 with primary schooling. Total (Incomplete and Completed Primary)
% educated at level,Barro-Lee: Percentage of population age 55-59 with secondary schooling. Completed Secondary
% educated at level,Barro-Lee: Percentage of population age 55-59 with secondary schooling. Total (Incomplete and Completed Secondary)
% educated at level,Barro-Lee: Percentage of population age 55-59 with tertiary schooling. Completed Tertiary
% educated at level,Barro-Lee: Percentage of population age 55-59 with tertiary schooling. Total (Incomplete and Completed Tertiary)
% educated at level,Barro-Lee: Percentage of population age 60-64 with no education
% educated at level,Barro-Lee: Percentage of population age 60-64 with primary schooling. Completed Primary
% educated at level,Barro-Lee: Percentage of population age 60-64 with primary schooling. Total (Incomplete and Completed Primary)
% educated at level,Barro-Lee: Percentage of population age 60-64 with secondary schooling. Completed Secondary
% educated at level,Barro-Lee: Percentage of population age 60-64 with secondary schooling. Total (Incomplete and Completed Secondary)
% educated at level,Barro-Lee: Percentage of population age 60-64 with tertiary schooling. Completed Tertiary
% educated at level,Barro-Lee: Percentage of population age 60-64 with tertiary schooling. Total (Incomplete and Completed Tertiary)
% educated at level,Barro-Lee: Percentage of population age 65-69 with no education
% educated at level,Barro-Lee: Percentage of population age 65-69 with primary schooling. Completed Primary
% educated at level,Barro-Lee: Percentage of population age 65-69 with primary schooling. Total (Incomplete and Completed Primary)
% educated at level,Barro-Lee: Percentage of population age 65-69 with secondary schooling. Completed Secondary
% educated at level,Barro-Lee: Percentage of population age 65-69 with secondary schooling. Total (Incomplete and Completed Secondary)
% educated at level,Barro-Lee: Percentage of population age 65-69 with tertiary schooling. Completed Tertiary
% educated at level,Barro-Lee: Percentage of population age 65-69 with tertiary schooling. Total (Incomplete and Completed Tertiary)
% educated at level,Barro-Lee: Percentage of population age 70-74 with no education
% educated at level,Barro-Lee: Percentage of population age 70-74 with primary schooling. Completed Primary
% educated at level,Barro-Lee: Percentage of population age 70-74 with primary schooling. Total (Incomplete and Completed Primary)
% educated at level,Barro-Lee: Percentage of population age 70-74 with secondary schooling. Completed Secondary
% educated at level,Barro-Lee: Percentage of population age 70-74 with secondary schooling. Total (Incomplete and Completed Secondary)
% educated at level,Barro-Lee: Percentage of population age 70-74 with tertiary schooling. Completed Tertiary
% educated at level,Barro-Lee: Percentage of population age 70-74 with tertiary schooling. Total (Incomplete and Completed Tertiary)
% educated at level,Barro-Lee: Percentage of population age 75+ with no education
% educated at level,Barro-Lee: Percentage of population age 75+ with primary schooling. Completed Primary
% educated at level,Barro-Lee: Percentage of population age 75+ with primary schooling. Total (Incomplete and Completed Primary)
% educated at level,Barro-Lee: Percentage of population age 75+ with secondary schooling. Completed Secondary
% educated at level,Barro-Lee: Percentage of population age 75+ with secondary schooling. Total (Incomplete and Completed Secondary)
% educated at level,Barro-Lee: Percentage of population age 75+ with tertiary schooling. Completed Tertiary
% educated at level,Barro-Lee: Percentage of population age 75+ with tertiary schooling. Total (Incomplete and Completed Tertiary)
% educated level,UIS: Percentage of population age 25+ with at least a completed bachelor's or equivalent degree (ISCED 6 or higher). Female
% educated level,UIS: Percentage of population age 25+ with at least a completed bachelor's or equivalent degree (ISCED 6 or higher). Male
% educated level,UIS: Percentage of population age 25+ with at least a completed bachelor's or equivalent degree (ISCED 6 or higher). Total
% educated level,UIS: Percentage of population age 25+ with at least a completed short-cycle tertiary degree (ISCED 5 or higher). Female
% educated level,UIS: Percentage of population age 25+ with at least a completed short-cycle tertiary degree (ISCED 5 or higher). Male
% educated level,UIS: Percentage of population age 25+ with at least a completed short-cycle tertiary degree (ISCED 5 or higher). Total
% educated level,UIS: Percentage of population age 25+ with at least completed lower secondary education (ISCED 2 or higher). Female
% educated level,UIS: Percentage of population age 25+ with at least completed lower secondary education (ISCED 2 or higher). Male
% educated level,UIS: Percentage of population age 25+ with at least completed lower secondary education (ISCED 2 or higher). Total
% educated level,UIS: Percentage of population age 25+ with at least completed post-secondary education (ISCED 4 or higher). Female
% educated level,UIS: Percentage of population age 25+ with at least completed post-secondary education (ISCED 4 or higher). Male
% educated level,UIS: Percentage of population age 25+ with at least completed post-secondary education (ISCED 4 or higher). Total
% educated level,UIS: Percentage of population age 25+ with at least completed primary education (ISCED 1 or higher). Female
% educated level,UIS: Percentage of population age 25+ with at least completed primary education (ISCED 1 or higher). Male
% educated level,UIS: Percentage of population age 25+ with at least completed primary education (ISCED 1 or higher). Total
% educated level,UIS: Percentage of population age 25+ with at least completed upper secondary education (ISCED 3 or higher). Female
% educated level,UIS: Percentage of population age 25+ with at least completed upper secondary education (ISCED 3 or higher). Male
% educated level,UIS: Percentage of population age 25+ with at least completed upper secondary education (ISCED 3 or higher). Total
% enrolled,"Percentage of all students in tertiary education enrolled in ISCED 6, both sexes (%)"
% enrolled,"Percentage of all students in tertiary education enrolled in ISCED 7, both sexes (%)"
% enrolled,"Percentage of all students in tertiary education enrolled in ISCED 8, both sexes (%)"
% enrolled,Percentage of enrolment in early childhood education programmes in private institutions (%)
% enrolled,"Percentage of female students enrolled in primary education who are over-age, female (%)"
% enrolled,"Percentage of female students in lower secondary education enrolled in general programmes, female (%)"
% enrolled,"Percentage of female students in post-secondary non-tertiary education enrolled in vocational programmes, female (%)"
% enrolled,"Percentage of female students in secondary education enrolled in general programmes, female (%)"
% enrolled,Percentage of female students in tertiary education enrolled in ISCED 6
% enrolled,Percentage of female students in tertiary education enrolled in ISCED 7
% enrolled,Percentage of female students in tertiary education enrolled in ISCED 8
% enrolled,"Percentage of female students in upper secondary education enrolled in general programmes, female (%)"
% enrolled,Percentage of graduates from tertiary education who are female (%)
% enrolled,Percentage of graduates from tertiary ISCED 6 programmes who are female (%)
% enrolled,Percentage of graduates from tertiary ISCED 7 programmes who are female (%)
% enrolled,Percentage of graduates from tertiary ISCED 8 programmes who are female (%)
% enrolled,"Percentage of male students enrolled in primary education who are over-age, male (%)"
% enrolled,"Percentage of male students in lower secondary education enrolled in general programmes, male (%)"
% enrolled,"Percentage of male students in post-secondary non-tertiary education enrolled in vocational programmes, male (%)"
% enrolled,"Percentage of male students in secondary education enrolled in general programmes, male (%)"
% enrolled,Percentage of male students in tertiary education enrolled in ISCED 6
% enrolled,Percentage of male students in tertiary education enrolled in ISCED 7
% enrolled,Percentage of male students in tertiary education enrolled in ISCED 8
Compensation,All staff compensation as % of total expenditure in lower secondary public institutions (%)
Compensation,All staff compensation as % of total expenditure in pre-primary public institutions (%)
Compensation,All staff compensation as % of total expenditure in primary public institutions (%)
Compensation,All staff compensation as % of total expenditure in public institutions (%)
Compensation,All staff compensation as % of total expenditure in secondary public institutions (%)
Compensation,All staff compensation as % of total expenditure in tertiary public institutions (%)
Compensation,All staff compensation as % of total expenditure in upper secondary public institutions (%)
Compensation,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. 15 years of experience
Compensation,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary
Compensation,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Top of scale
Compensation,Annual statutory teacher salaries in public institutions in USD. Primary. 15 years of experience
Compensation,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary
Compensation,Annual statutory teacher salaries in public institutions in USD. Primary. Top of scale
Compensation,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. 15 years of experience
Compensation,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary
Compensation,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Top of scale
Compulsory Education,Duration of compulsory education (years)
Compulsory Education,"Population of compulsory school age, both sexes (number)"
Compulsory Education,"Population of compulsory school age, female (number)"
Compulsory Education,"Population of compulsory school age, male (number)"
computers,Personal computers (per 100 people)
Duration,Theoretical duration of lower secondary education (years)
Duration,Theoretical duration of post-secondary non-tertiary education (years)
Duration,Theoretical duration of pre-primary education (years)
Duration,Theoretical duration of primary education (years)
Duration,Theoretical duration of secondary education (years)
Duration,Theoretical duration of upper secondary education (years)
enrolled segments,"Percentage of male students in upper secondary education enrolled in general programmes, male (%)"
enrolled segments,"Percentage of students enrolled in primary education who are over-age, both sexes (%)"
enrolled segments,Percentage of students in early childhood education who are female (%)
enrolled segments,"Percentage of students in lower secondary education enrolled in general programmes, both sexes (%)"
enrolled segments,Percentage of students in lower secondary education who are female (%)
enrolled segments,Percentage of students in lower secondary general education who are female (%)
enrolled segments,"Percentage of students in post-secondary non-tertiary education enrolled in vocational programmes, both sexes (%)"
enrolled segments,Percentage of students in post-secondary non-tertiary education who are female (%)
enrolled segments,Percentage of students in post-secondary non-tertiary vocational education who are female (%)
enrolled segments,Percentage of students in pre-primary education who are female (%)
enrolled segments,Percentage of students in primary education who are female (%)
enrolled segments,"Percentage of students in secondary education enrolled in general programmes, both sexes (%)"
enrolled segments,Percentage of students in secondary education who are female (%)
enrolled segments,Percentage of students in secondary general education who are female (%)
enrolled segments,Percentage of students in tertiary education who are female (%)
enrolled segments,Percentage of students in tertiary ISCED 6 programmes who are female (%)
enrolled segments,Percentage of students in tertiary ISCED 7 programmes who are female (%)
enrolled segments,Percentage of students in tertiary ISCED 8 programmes who are female (%)
enrolled segments,"Percentage of students in upper secondary education enrolled in general programmes, both sexes (%)"
enrolled segments,Percentage of students in upper secondary education who are female (%)
enrolled segments,Percentage of students in upper secondary general education who are female (%)
Enrolment,"Adjusted net enrolment rate, primary, gender parity index (GPI)"
Enrolment,"Enrolment in early childhood education, both sexes (number)"
Enrolment,"Enrolment in early childhood education, female (number)"
Enrolment,"Enrolment in early childhood education, private institutions, both sexes (number)"
Enrolment,"Enrolment in early childhood education, private institutions, female (number)"
Enrolment,"Enrolment in early childhood education, public institutions, both sexes (number)"
Enrolment,"Enrolment in early childhood education, public institutions, female (number)"
Enrolment,"Enrolment in Grade 1 of lower secondary general education, both sexes (number)"
Enrolment,"Enrolment in Grade 1 of lower secondary general education, female (number)"
Enrolment,"Enrolment in Grade 1 of primary education, both sexes (number)"
Enrolment,"Enrolment in Grade 1 of primary education, female (number)"
Enrolment,"Enrolment in Grade 2 of lower secondary general education, both sexes (number)"
Enrolment,"Enrolment in Grade 2 of lower secondary general education, female (number)"
Enrolment,"Enrolment in Grade 2 of primary education, both sexes (number)"
Enrolment,"Enrolment in Grade 2 of primary education, female (number)"
Enrolment,"Enrolment in Grade 3 of lower secondary general education, both sexes (number)"
Enrolment,"Enrolment in Grade 3 of lower secondary general education, female (number)"
Enrolment,"Enrolment in Grade 3 of primary education, both sexes (number)"
Enrolment,"Enrolment in Grade 3 of primary education, female (number)"
Enrolment,"Enrolment in Grade 4 of primary education, both sexes (number)"
Enrolment,"Enrolment in Grade 4 of primary education, female (number)"
Enrolment,"Enrolment in Grade 5 of primary education, both sexes (number)"
Enrolment,"Enrolment in Grade 5 of primary education, female (number)"
Enrolment,"Enrolment in lower secondary education, both sexes (number)"
Enrolment,"Enrolment in lower secondary education, female (number)"
Enrolment,"Enrolment in lower secondary education, private institutions, both sexes (number)"
Enrolment,"Enrolment in lower secondary education, private institutions, female (number)"
Enrolment,"Enrolment in lower secondary education, public institutions, both sexes (number)"
Enrolment,"Enrolment in lower secondary education, public institutions, female (number)"
Enrolment,"Enrolment in lower secondary general, both sexes (number)"
Enrolment,"Enrolment in lower secondary general, female (number)"
Enrolment,"Enrolment in post-secondary non-tertiary education, both sexes (number)"
Enrolment,"Enrolment in post-secondary non-tertiary education, female (number)"
Enrolment,"Enrolment in post-secondary non-tertiary education, private institutions, both sexes (number)"
Enrolment,"Enrolment in post-secondary non-tertiary education, private institutions, female (number)"
Enrolment,"Enrolment in post-secondary non-tertiary education, public institutions, both sexes (number)"
Enrolment,"Enrolment in post-secondary non-tertiary education, public institutions, female (number)"
Enrolment,"Enrolment in pre-primary education, both sexes (number)"
Enrolment,"Enrolment in pre-primary education, female (number)"
Enrolment,"Enrolment in pre-primary education, private institutions, both sexes (number)"
Enrolment,"Enrolment in pre-primary education, private institutions, female (number)"
Enrolment,"Enrolment in pre-primary education, public institutions, both sexes (number)"
